team,position,gf,ga,gd,points
Manchester Utd,1,67,31,36,84
Aston Villa,2,57,40,17,74
Norwich City,3,61,65,-4,72
Blackburn,4,68,46,22,71
QPR,5,63,55,8,63
Liverpool,6,62,55,7,59
Sheffield Weds,7,55,51,4,59
Tottenham,8,60,66,-6,59
Manchester City,9,56,51,5,57
Arsenal,10,40,38,2,56
Chelsea,11,51,54,-3,56
Wimbledon,12,56,55,1,54
Everton,13,53,55,-2,53
Sheffield Utd,14,54,53,1,52
Coventry City,15,52,57,-5,52
Ipswich Town,16,50,55,-5,52
Leeds United,17,57,62,-5,51
Southampton,18,54,61,-7,50
Oldham Athletic,19,63,74,-11,49
Crystal Palace,20,48,61,-13,49
Middlesbrough,21,54,75,-21,44
Nottingham Forest,22,41,62,-21,40
Manchester Utd,1,80,38,42,92
Blackburn,2,63,36,27,84
Newcastle Utd,3,82,41,41,77
Arsenal,4,53,28,25,71
Leeds United,5,65,39,26,70
Wimbledon,6,56,53,3,65
Sheffield Weds,7,76,54,22,64
Liverpool,8,59,55,4,60
QPR,9,62,61,1,60
Aston Villa,10,46,50,-4,57
Coventry City,11,43,45,-2,56
Norwich City,12,65,61,4,53
West Ham,13,47,58,-11,52
Chelsea,14,49,53,-4,51
Tottenham,15,54,59,-5,45
Manchester City,16,38,49,-11,45
Everton,17,42,63,-21,44
Southampton,18,49,66,-17,43
Ipswich Town,19,35,58,-23,43
Sheffield Utd,20,42,60,-18,42
Oldham Athletic,21,42,68,-26,40
Swindon Town,22,47,100,-53,30
Blackburn,1,80,39,41,89
Manchester Utd,2,77,29,48,88
Nottingham Forest,3,72,43,29,77
Liverpool,4,65,37,28,74
Leeds United,5,59,38,21,73
Newcastle Utd,6,67,47,20,72
Tottenham,7,66,58,8,62
QPR,8,61,59,2,60
Wimbledon,9,48,65,-17,56
Southampton,10,61,63,-2,54
Chelsea,11,50,55,-5,54
Arsenal,12,53,49,4,51
Sheffield Weds,13,49,57,-8,51
West Ham,14,44,48,-4,50
Everton,15,44,51,-7,50
Coventry City,16,44,62,-18,50
Manchester City,17,53,64,-11,49
Aston Villa,18,51,56,-5,48
Crystal Palace,19,34,49,-15,45
Norwich City,20,37,54,-17,43
Leicester City,21,45,80,-35,29
Ipswich Town,22,36,93,-57,27
Manchester Utd,1,73,35,38,82
Newcastle Utd,2,66,37,29,78
Liverpool,3,70,34,36,71
Aston Villa,4,52,35,17,63
Arsenal,5,49,32,17,63
Everton,6,64,44,20,61
Blackburn,7,61,47,14,61
Tottenham,8,50,38,12,61
Nottingham Forest,9,50,54,-4,58
West Ham,10,43,52,-9,51
Chelsea,11,46,44,2,50
Middlesbrough,12,35,50,-15,43
Leeds United,13,40,57,-17,43
Wimbledon,14,55,70,-15,41
Sheffield Weds,15,48,61,-13,40
Coventry City,16,42,60,-18,38
Southampton,17,34,52,-18,38
Manchester City,18,33,58,-25,38
QPR,19,38,57,-19,33
Bolton,20,39,71,-32,29
Manchester Utd,1,76,44,32,75
Newcastle Utd,2,73,40,33,68
Arsenal,3,62,32,30,68
Liverpool,4,62,37,25,68
Aston Villa,5,47,34,13,61
Chelsea,6,58,55,3,59
Sheffield Weds,7,50,51,-1,57
Wimbledon,8,49,46,3,56
Leicester City,9,46,54,-8,47
Tottenham,10,44,51,-7,46
Leeds United,11,28,38,-10,46
Derby County,12,45,58,-13,46
Blackburn,13,42,43,-1,42
West Ham,14,39,48,-9,42
Everton,15,44,57,-13,42
Southampton,16,50,56,-6,41
Coventry City,17,38,54,-16,41
Sunderland,18,35,53,-18,40
Middlesbrough,19,51,60,-9,39
Nottingham Forest,20,31,59,-28,34
Arsenal,1,68,33,35,78
Manchester Utd,2,73,26,47,77
Liverpool,3,68,42,26,65
Chelsea,4,71,43,28,63
Leeds United,5,57,46,11,59
Blackburn,6,57,52,5,58
Aston Villa,7,49,48,1,57
West Ham,8,56,57,-1,56
Derby County,9,52,49,3,55
Leicester City,10,51,41,10,53
Coventry City,11,46,44,2,52
Southampton,12,50,55,-5,48
Newcastle Utd,13,35,44,-9,44
Tottenham,14,44,56,-12,44
Wimbledon,15,34,46,-12,44
Sheffield Weds,16,52,67,-15,44
Everton,17,41,56,-15,40
Bolton,18,41,61,-20,40
Barnsley,19,37,82,-45,35
Crystal Palace,20,37,71,-34,33
Manchester Utd,1,80,37,43,79
Arsenal,2,59,17,42,78
Chelsea,3,57,30,27,75
Leeds United,4,62,34,28,67
West Ham,5,46,53,-7,57
Aston Villa,6,51,46,5,55
Liverpool,7,68,49,19,54
Derby County,8,40,45,-5,52
Middlesbrough,9,48,54,-6,51
Leicester City,10,40,46,-6,49
Tottenham,11,47,50,-3,47
Sheffield Weds,12,41,42,-1,46
Newcastle Utd,13,48,54,-6,46
Everton,14,42,47,-5,43
Coventry City,15,39,51,-12,42
Wimbledon,16,40,63,-23,42
Southampton,17,37,64,-27,41
Charlton Ath,18,41,56,-15,36
Blackburn,19,38,52,-14,35
Nottingham Forest,20,35,69,-34,30
Manchester Utd,1,97,45,52,91
Arsenal,2,73,43,30,73
Leeds United,3,58,43,15,69
Liverpool,4,51,30,21,67
Chelsea,5,53,34,19,65
Aston Villa,6,46,35,11,58
Sunderland,7,57,56,1,58
Leicester City,8,55,55,0,55
West Ham,9,52,53,-1,55
Tottenham,10,57,49,8,53
Newcastle Utd,11,63,54,9,52
Middlesbrough,12,46,52,-6,52
Everton,13,59,49,10,50
Coventry City,14,47,54,-7,44
Southampton,15,45,62,-17,44
Derby County,16,44,57,-13,38
Bradford City,17,38,68,-30,36
Wimbledon,18,46,74,-28,33
Sheffield Weds,19,38,70,-32,31
Watford,20,35,77,-42,24
Manchester Utd,1,79,31,48,80
Arsenal,2,63,38,25,70
Liverpool,3,71,39,32,69
Leeds United,4,64,43,21,68
Ipswich Town,5,57,42,15,66
Chelsea,6,68,45,23,61
Sunderland,7,46,41,5,57
Aston Villa,8,46,43,3,54
Charlton Ath,9,50,57,-7,52
Southampton,10,40,48,-8,52
Newcastle Utd,11,44,50,-6,51
Tottenham,12,47,54,-7,49
Leicester City,13,39,51,-12,48
Middlesbrough,14,44,44,0,42
West Ham,15,45,50,-5,42
Everton,16,45,59,-14,42
Derby County,17,37,59,-22,42
Manchester City,18,41,65,-24,34
Coventry City,19,36,63,-27,34
Bradford City,20,30,70,-40,26
Arsenal,1,79,36,43,87
Liverpool,2,67,30,37,80
Manchester Utd,3,87,45,42,77
Newcastle Utd,4,74,52,22,71
Leeds United,5,53,37,16,66
Chelsea,6,66,38,28,64
West Ham,7,48,57,-9,53
Aston Villa,8,46,47,-1,50
Tottenham,9,49,53,-4,50
Blackburn,10,55,51,4,46
Southampton,11,46,54,-8,45
Middlesbrough,12,35,47,-12,45
Fulham,13,36,44,-8,44
Charlton Ath,14,38,49,-11,44
Everton,15,45,57,-12,43
Bolton,16,44,62,-18,40
Sunderland,17,29,51,-22,40
Ipswich Town,18,41,64,-23,36
Derby County,19,33,63,-30,30
Leicester City,20,30,64,-34,28
Manchester Utd,1,74,34,40,83
Arsenal,2,85,42,43,78
Newcastle Utd,3,63,48,15,69
Chelsea,4,68,38,30,67
Liverpool,5,61,41,20,64
Blackburn,6,52,43,9,60
Everton,7,48,49,-1,59
Southampton,8,43,46,-3,52
Manchester City,9,47,54,-7,51
Tottenham,10,51,62,-11,50
Middlesbrough,11,48,44,4,49
Charlton Ath,12,45,56,-11,49
Birmingham City,13,41,49,-8,48
Fulham,14,41,50,-9,48
Leeds United,15,58,57,1,47
Aston Villa,16,42,47,-5,45
Bolton,17,41,51,-10,44
West Ham,18,42,59,-17,42
West Brom,19,29,65,-36,26
Sunderland,20,21,65,-44,19
Arsenal,1,73,26,47,90
Chelsea,2,67,30,37,79
Manchester Utd,3,64,35,29,75
Liverpool,4,55,37,18,60
Newcastle Utd,5,52,40,12,56
Aston Villa,6,48,44,4,56
Charlton Ath,7,51,51,0,53
Bolton,8,48,56,-8,53
Fulham,9,52,46,6,52
Birmingham City,10,43,48,-5,50
Middlesbrough,11,44,52,-8,48
Southampton,12,44,45,-1,47
Portsmouth,13,47,54,-7,45
Tottenham,14,47,57,-10,45
Blackburn,15,51,59,-8,44
Manchester City,16,55,54,1,41
Everton,17,45,57,-12,39
Leicester City,18,48,65,-17,33
Leeds United,19,40,79,-39,33
Wolves,20,38,77,-39,33
Chelsea,1,72,15,57,95
Arsenal,2,87,36,51,83
Manchester Utd,3,58,26,32,77
Everton,4,45,46,-1,61
Liverpool,5,52,41,11,58
Bolton,6,49,44,5,58
Middlesbrough,7,53,46,7,55
Manchester City,8,47,39,8,52
Tottenham,9,47,41,6,52
Aston Villa,10,45,52,-7,47
Charlton Ath,11,42,58,-16,46
Birmingham City,12,40,46,-6,45
Fulham,13,52,60,-8,44
Newcastle Utd,14,47,57,-10,44
Blackburn,15,32,43,-11,42
Portsmouth,16,43,59,-16,39
West Brom,17,36,61,-25,34
Crystal Palace,18,41,62,-21,33
Norwich City,19,42,77,-35,33
Southampton,20,45,66,-21,32
Chelsea,1,72,22,50,91
Manchester Utd,2,72,34,38,83
Liverpool,3,57,25,32,82
Arsenal,4,68,31,37,67
Tottenham,5,53,38,15,65
Blackburn,6,51,42,9,63
Newcastle Utd,7,47,42,5,58
Bolton,8,49,41,8,56
West Ham,9,52,55,-3,55
Wigan Athletic,10,45,52,-7,51
Everton,11,34,49,-15,50
Fulham,12,48,58,-10,48
Charlton Ath,13,41,55,-14,47
Middlesbrough,14,48,58,-10,45
Manchester City,15,43,48,-5,43
Aston Villa,16,42,55,-13,42
Portsmouth,17,37,62,-25,38
Birmingham City,18,28,50,-22,34
West Brom,19,31,58,-27,30
Sunderland,20,26,69,-43,15
Manchester Utd,1,83,27,56,89
Chelsea,2,64,24,40,83
Liverpool,3,57,27,30,68
Arsenal,4,63,35,28,68
Tottenham,5,57,54,3,60
Everton,6,52,36,16,58
Bolton,7,47,52,-5,56
Reading,8,52,47,5,55
Portsmouth,9,45,42,3,54
Blackburn,10,52,54,-2,52
Aston Villa,11,43,41,2,50
Middlesbrough,12,44,49,-5,46
Newcastle Utd,13,38,47,-9,43
Manchester City,14,29,44,-15,42
West Ham,15,35,59,-24,41
Fulham,16,38,60,-22,39
Wigan Athletic,17,37,59,-22,38
Sheffield Utd,18,32,55,-23,38
Charlton Ath,19,34,60,-26,34
Watford,20,29,59,-30,28
Manchester Utd,1,80,22,58,87
Chelsea,2,65,26,39,85
Arsenal,3,74,31,43,83
Liverpool,4,67,28,39,76
Everton,5,55,33,22,65
Aston Villa,6,71,51,20,60
Blackburn,7,50,48,2,58
Portsmouth,8,48,40,8,57
Manchester City,9,45,53,-8,55
West Ham,10,42,50,-8,49
Tottenham,11,66,61,5,46
Newcastle Utd,12,45,65,-20,43
Middlesbrough,13,43,53,-10,42
Wigan Athletic,14,34,51,-17,40
Sunderland,15,36,59,-23,39
Bolton,16,36,54,-18,37
Fulham,17,38,60,-22,36
Reading,18,41,66,-25,36
Birmingham City,19,46,62,-16,35
Derby County,20,20,89,-69,11
Manchester Utd,1,68,24,44,90
Liverpool,2,77,27,50,86
Chelsea,3,68,24,44,83
Arsenal,4,68,37,31,72
Everton,5,55,37,18,63
Aston Villa,6,54,48,6,62
Fulham,7,39,34,5,53
Tottenham,8,45,45,0,51
West Ham,9,42,45,-3,51
Manchester City,10,58,50,8,50
Wigan Athletic,11,34,45,-11,45
Stoke City,12,38,55,-17,45
Bolton,13,41,53,-12,41
Portsmouth,14,38,57,-19,41
Blackburn,15,40,60,-20,41
Sunderland,16,34,54,-20,36
Hull City,17,39,64,-25,35
Newcastle Utd,18,40,59,-19,34
Middlesbrough,19,28,57,-29,32
West Brom,20,36,67,-31,32
Chelsea,1,103,32,71,86
Manchester Utd,2,86,28,58,85
Arsenal,3,83,41,42,75
Tottenham,4,67,41,26,70
Manchester City,5,73,45,28,67
Aston Villa,6,52,39,13,64
Liverpool,7,61,35,26,63
Everton,8,60,49,11,61
Birmingham City,9,38,47,-9,50
Blackburn,10,41,55,-14,50
Stoke City,11,34,48,-14,47
Fulham,12,39,46,-7,46
Sunderland,13,48,56,-8,44
Bolton,14,42,67,-25,39
Wolves,15,32,56,-24,38
Wigan Athletic,16,37,79,-42,36
West Ham,17,47,66,-19,35
Burnley,18,42,82,-40,30
Hull City,19,34,75,-41,30
Portsmouth,20,34,66,-32,19
Manchester Utd,1,78,37,41,80
Chelsea,2,69,33,36,71
Manchester City,3,60,33,27,71
Arsenal,4,72,43,29,68
Tottenham,5,55,46,9,62
Liverpool,6,59,44,15,58
Everton,7,51,45,6,54
Fulham,8,49,43,6,49
Aston Villa,9,48,59,-11,48
Sunderland,10,45,56,-11,47
West Brom,11,56,71,-15,47
Newcastle Utd,12,56,57,-1,46
Stoke City,13,46,48,-2,46
Bolton,14,52,56,-4,46
Blackburn,15,46,59,-13,43
Wigan Athletic,16,40,61,-21,42
Wolves,17,46,66,-20,40
Birmingham City,18,37,58,-21,39
Blackpool,19,55,78,-23,39
West Ham,20,43,70,-27,33
Manchester City,1,93,29,64,89
Manchester Utd,2,89,33,56,89
Arsenal,3,74,49,25,70
Tottenham,4,66,41,25,69
Newcastle Utd,5,56,51,5,65
Chelsea,6,65,46,19,64
Everton,7,50,40,10,56
Liverpool,8,47,40,7,52
Fulham,9,48,51,-3,52
West Brom,10,45,52,-7,47
Swansea City,11,44,51,-7,47
Norwich City,12,52,66,-14,47
Sunderland,13,45,46,-1,45
Stoke City,14,36,53,-17,45
Wigan Athletic,15,42,62,-20,43
Aston Villa,16,37,53,-16,38
QPR,17,43,66,-23,37
Bolton,18,46,77,-31,36
Blackburn,19,48,78,-30,31
Wolves,20,40,82,-42,25
Manchester Utd,1,86,43,43,89
Manchester City,2,66,34,32,78
Chelsea,3,75,39,36,75
Arsenal,4,72,37,35,73
Tottenham,5,66,46,20,72
Everton,6,55,40,15,63
Liverpool,7,71,43,28,61
West Brom,8,53,57,-4,49
Swansea City,9,47,51,-4,46
West Ham,10,45,53,-8,46
Norwich City,11,41,58,-17,44
Fulham,12,50,60,-10,43
Stoke City,13,34,45,-11,42
Southampton,14,49,60,-11,41
Aston Villa,15,47,69,-22,41
Newcastle Utd,16,45,68,-23,41
Sunderland,17,41,54,-13,39
Wigan Athletic,18,47,73,-26,36
Reading,19,43,73,-30,28
QPR,20,30,60,-30,25
Manchester City,1,102,37,65,86
Liverpool,2,101,50,51,84
Chelsea,3,71,27,44,82
Arsenal,4,68,41,27,79
Everton,5,61,39,22,72
Tottenham,6,55,51,4,69
Manchester Utd,7,64,43,21,64
Southampton,8,54,46,8,56
Stoke City,9,45,52,-7,50
Newcastle Utd,10,43,59,-16,49
Crystal Palace,11,33,48,-15,45
Swansea City,12,54,54,0,42
West Ham,13,40,51,-11,40
Sunderland,14,41,60,-19,38
Aston Villa,15,39,61,-22,38
Hull City,16,38,53,-15,37
West Brom,17,43,59,-16,36
Norwich City,18,28,62,-34,33
Fulham,19,40,85,-45,32
Cardiff City,20,32,74,-42,30
Chelsea,1,73,32,41,87
Manchester City,2,83,38,45,79
Arsenal,3,71,36,35,75
Manchester Utd,4,62,37,25,70
Tottenham,5,58,53,5,64
Liverpool,6,52,48,4,62
Southampton,7,54,33,21,60
Swansea City,8,46,49,-3,56
Stoke City,9,48,45,3,54
Crystal Palace,10,47,51,-4,48
Everton,11,48,50,-2,47
West Ham,12,44,47,-3,47
West Brom,13,38,51,-13,44
Leicester City,14,46,55,-9,41
Newcastle Utd,15,40,63,-23,39
Sunderland,16,31,53,-22,38
Aston Villa,17,31,57,-26,38
Hull City,18,33,51,-18,35
Burnley,19,28,53,-25,33
QPR,20,42,73,-31,30
Leicester City,1,68,36,32,81
Arsenal,2,65,36,29,71
Tottenham,3,69,35,34,70
Manchester City,4,71,41,30,66
Manchester Utd,5,49,35,14,66
Southampton,6,59,41,18,63
West Ham,7,65,51,14,62
Liverpool,8,63,50,13,60
Stoke City,9,41,55,-14,51
Chelsea,10,59,53,6,50
Everton,11,59,55,4,47
Swansea City,12,42,52,-10,47
Watford,13,40,50,-10,45
West Brom,14,34,48,-14,43
Crystal Palace,15,39,51,-12,42
Bournemouth,16,45,67,-22,42
Sunderland,17,48,62,-14,39
Newcastle Utd,18,44,65,-21,37
Norwich City,19,39,67,-28,34
Aston Villa,20,27,76,-49,17
Chelsea,1,85,33,52,93
Tottenham,2,86,26,60,86
Manchester City,3,80,39,41,78
Liverpool,4,78,42,36,76
Arsenal,5,77,44,33,75
Manchester Utd,6,54,29,25,69
Everton,7,62,44,18,61
Southampton,8,41,48,-7,46
Bournemouth,9,55,67,-12,46
West Brom,10,43,51,-8,45
West Ham,11,47,64,-17,45
Leicester City,12,48,63,-15,44
Stoke City,13,41,56,-15,44
Crystal Palace,14,50,63,-13,41
Swansea City,15,45,70,-25,41
Burnley,16,39,55,-16,40
Watford,17,40,68,-28,40
Hull City,18,37,80,-43,34
Middlesbrough,19,27,53,-26,28
Sunderland,20,29,69,-40,24
Manchester City,1,106,27,79,100
Manchester Utd,2,68,28,40,81
Tottenham,3,74,36,38,77
Liverpool,4,84,38,46,75
Chelsea,5,62,38,24,70
Arsenal,6,74,51,23,63
Burnley,7,36,39,-3,54
Everton,8,44,58,-14,49
Leicester City,9,56,60,-4,47
Newcastle Utd,10,39,47,-8,44
Crystal Palace,11,45,55,-10,44
Bournemouth,12,45,61,-16,44
West Ham,13,48,68,-20,42
Watford,14,44,64,-20,41
Brighton,15,34,54,-20,40
Huddersfield,16,28,58,-30,37
Southampton,17,37,56,-19,36
Swansea City,18,28,56,-28,33
Stoke City,19,35,68,-33,33
West Brom,20,31,56,-25,31
Manchester City,1,95,23,72,98
Liverpool,2,89,22,67,97
Chelsea,3,63,39,24,72
Tottenham,4,67,39,28,71
Arsenal,5,73,51,22,70
Manchester Utd,6,65,54,11,66
Wolves,7,47,46,1,57
Everton,8,54,46,8,54
Leicester City,9,51,48,3,52
West Ham,10,52,55,-3,52
Watford,11,52,59,-7,50
Crystal Palace,12,51,53,-2,49
Newcastle Utd,13,42,48,-6,45
Bournemouth,14,56,70,-14,45
Burnley,15,45,68,-23,40
Southampton,16,45,65,-20,39
Brighton,17,35,60,-25,36
Cardiff City,18,34,69,-35,34
Fulham,19,34,81,-47,26
Huddersfield,20,22,76,-54,16
Liverpool,1,85,33,52,99
Manchester City,2,102,35,67,81
Manchester Utd,3,66,36,30,66
Chelsea,4,69,54,15,66
Leicester City,5,67,41,26,62
Tottenham,6,61,47,14,59
Wolves,7,51,40,11,59
Arsenal,8,56,48,8,56
Sheffield Utd,9,39,39,0,54
Burnley,10,43,50,-7,54
Southampton,11,51,60,-9,52
Everton,12,44,56,-12,49
Newcastle Utd,13,38,58,-20,44
Crystal Palace,14,31,50,-19,43
Brighton,15,39,54,-15,41
West Ham,16,49,62,-13,39
Aston Villa,17,41,67,-26,35
Bournemouth,18,40,65,-25,34
Watford,19,36,64,-28,34
Norwich City,20,26,75,-49,21
Manchester City,1,83,32,51,86
Manchester Utd,2,73,44,29,74
Liverpool,3,68,42,26,69
Chelsea,4,58,36,22,67
Leicester City,5,68,50,18,66
West Ham,6,62,47,15,65
Tottenham,7,68,45,23,62
Arsenal,8,55,39,16,61
Leeds United,9,62,54,8,59
Everton,10,47,48,-1,59
Aston Villa,11,55,46,9,55
Newcastle Utd,12,46,62,-16,45
Wolves,13,36,52,-16,45
Crystal Palace,14,41,66,-25,44
Southampton,15,47,68,-21,43
Brighton,16,40,46,-6,41
Burnley,17,33,55,-22,39
Fulham,18,27,53,-26,28
West Brom,19,35,76,-41,26
Sheffield Utd,20,20,63,-43,23
Manchester City,1,99,26,73,93
Liverpool,2,94,26,68,92
Chelsea,3,76,33,43,74
Tottenham,4,69,40,29,71
Arsenal,5,61,48,13,69
Manchester Utd,6,57,57,0,58
West Ham,7,60,51,9,56
Leicester City,8,62,59,3,52
Brighton,9,42,44,-2,51
Wolves,10,38,43,-5,51
Newcastle Utd,11,44,62,-18,49
Crystal Palace,12,50,46,4,48
Brentford,13,48,56,-8,46
Aston Villa,14,52,54,-2,45
Southampton,15,43,67,-24,40
Everton,16,43,66,-23,39
Leeds United,17,42,79,-37,38
Burnley,18,34,53,-19,35
Watford,19,34,77,-43,23
Norwich City,20,23,84,-61,22
Manchester City,1,94,33,61,89
Arsenal,2,88,43,45,84
Manchester Utd,3,58,43,15,75
Newcastle Utd,4,68,33,35,71
Liverpool,5,75,47,28,67
Brighton,6,72,53,19,62
Aston Villa,7,51,46,5,61
Tottenham,8,70,63,7,60
Brentford,9,58,46,12,59
Fulham,10,55,53,2,52
Crystal Palace,11,40,49,-9,45
Chelsea,12,38,47,-9,44
Wolves,13,31,58,-27,41
West Ham,14,42,55,-13,40
Bournemouth,15,37,71,-34,39
Nottingham Forest,16,38,68,-30,38
Everton,17,34,57,-23,36
Leicester City,18,51,68,-17,34
Leeds United,19,48,78,-30,31
Southampton,20,36,73,-37,25
Manchester City,1,96,34,62,91
Arsenal,2,91,29,62,89
Liverpool,3,86,41,45,82
Aston Villa,4,76,61,15,68
Tottenham,5,74,61,13,66
Chelsea,6,77,63,14,63
Newcastle Utd,7,85,62,23,60
Manchester Utd,8,57,58,-1,60
West Ham,9,60,74,-14,52
Crystal Palace,10,57,58,-1,49
Brighton,11,55,62,-7,48
Bournemouth,12,54,67,-13,48
Fulham,13,55,61,-6,47
Wolves,14,50,65,-15,46
Everton,15,40,51,-11,40
Brentford,16,56,65,-9,39
Nottingham Forest,17,49,67,-18,32
Luton Town,18,52,85,-33,26
Burnley,19,41,78,-37,24
Sheffield Utd,20,35,104,-69,16
